"case_id","source_image_id","file_name","source_dataset","source_pool","source_folder","source_annotation","claim_id","claim_text","expected_verdict","actual_visual_state","damage_type","confidence","case_origin","construction_method","parent_case_id","image_variant_id","unique_physical_image","review_status","notes"
"DDV1-076","H031","hole_031.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-076","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","tight_crop","SOURCE:H031","H031-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-077","H032","hole_032.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-077","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","mild_blur","SOURCE:H032","H032-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-078","H033","hole_033.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-078","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:H033","H033-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-079","H034","hole_034.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-079","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:H034","H034-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-080","H035","hole_035.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-080","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","incomplete_view","SOURCE:H035","H035-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
"DDV1-081","H001","hole_001.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-081","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","tight_crop","SOURCE:H001","H001-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-082","H002","hole_002.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-082","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","mild_blur","SOURCE:H002","H002-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-083","H003","hole_003.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-083","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:H003","H003-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-084","H004","hole_004.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-084","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:H004","H004-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-085","H005","hole_005.jpg","Garment_condition_holes","train/images + valid/images","holes_35","YOLO label available in original candidate export","CLM-085","The garment may have a hole or tear, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_hole_or_tear","low","constructed_ambiguous_variant","incomplete_view","SOURCE:H005","H005-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
"DDV1-086","S016","spot_016.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-086","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","tight_crop","SOURCE:S016","S016-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-087","S017","spot_017.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-087","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","mild_blur","SOURCE:S017","S017-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-088","S018","spot_018.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-088","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:S018","S018-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-089","S019","spot_019.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-089","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:S019","S019-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-090","S020","spot_020.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-090","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","incomplete_view","SOURCE:S020","S020-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
"DDV1-091","S021","spot_021.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-091","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","tight_crop","SOURCE:S021","S021-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-092","S022","spot_022.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-092","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","mild_blur","SOURCE:S022","S022-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-093","S023","spot_023.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-093","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:S023","S023-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-094","S024","spot_024.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-094","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:S024","S024-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-095","S025","spot_025.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-095","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","incomplete_view","SOURCE:S025","S025-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
"DDV1-096","S026","spot_026.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-096","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","tight_crop","SOURCE:S026","S026-V-TIGHT-CROP","no","provisional_week1","Variant recipe only: derive a tight crop view from the named source image; do not treat as a new independent photograph."
"DDV1-097","S027","spot_027.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-097","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","mild_blur","SOURCE:S027","S027-V-MILD-BLUR","no","provisional_week1","Variant recipe only: derive a mild blur view from the named source image; do not treat as a new independent photograph."
"DDV1-098","S028","spot_028.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-098","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","partial_occlusion","SOURCE:S028","S028-V-PARTIAL-OCCLUSION","no","provisional_week1","Variant recipe only: derive a partial occlusion view from the named source image; do not treat as a new independent photograph."
"DDV1-099","S029","spot_029.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-099","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","reduced_contrast","SOURCE:S029","S029-V-REDUCED-CONTRAST","no","provisional_week1","Variant recipe only: derive a reduced contrast view from the named source image; do not treat as a new independent photograph."
"DDV1-100","S030","spot_030.jpg","Garment_condition_spots","train/images","spots_35","No source label supplied; Week 1 visual triage","CLM-100","The garment may have a stain or spot, but the visual evidence is insufficient.","ambiguous","insufficient_visual_evidence","uncertain_stain_or_spot","low","constructed_ambiguous_variant","incomplete_view","SOURCE:S030","S030-V-INCOMPLETE-VIEW","no","provisional_week1","Variant recipe only: derive a incomplete view view from the named source image; do not treat as a new independent photograph."
